alarm: ['-260.04', '-191.74', '-25.00']
phantasmal: ['-11.24', '-299.71', '-287.54']
gods: ['-293.02', '-5.81', '-579.06']
incineration: ['-241.62', '-27.31', '-189.87']
caustic: ['-7.86', '-267.87', '-497.46']
shatter: ['-1.85', '-622.18', '-411.15']
thunder: ['-114.27', '-63.86', '-187.73']
gab: ['-1527.95', '-1.36', '-430.63']
abound: ['-151.72', '-273.21', '-33.46']
glibness: ['-476.81', '-5.03', '-320.54']
skill: ['-761.18', '-0.07', '-874.77']
thoughts: ['-106.45', '-42.30', '-1008.54']
grasping: ['-81.59', '-352.36', '-63.81']
destroy: ['-1.78', '-783.65', '-406.14']
smite: ['-71.50', '-121.88', '-153.62']
sinkhole: ['-2256.17', '-1718.48', '-0.00']
waves: ['-627.31', '-1115.74', '-0.19']
stride: ['-711.40', '-182.63', '-17.65']
create: ['-0.76', '-488.86', '-1199.74']
pain: ['-1276.88', '-16.06', '-190.79']
enemies: ['-263.46', '-68.31', '-85.99']
frost: ['-709.32', '-70.82', '-68.00']
steed: ['-778.84', '-3.75', '-331.30']
bones: ['-3.46', '-340.11', '-734.10']
produce: ['-0.00', '-1022.72', '-1514.60']
negative: ['-140.62', '-28.14', '-846.64']
whirlwind: ['-96.06', '-242.44', '-63.71']
cone: ['-19.89', '-553.97', '-173.49']
beast: ['-292.52', '-7.19', '-415.20']
wilting: ['-339.08', '-9.41', '-288.00']
reincarnate: ['-20.41', '-177.30', '-421.09']
ravenous: ['-19.67', '-275.72', '-216.22']
shocking: ['-29.20', '-147.71', '-369.14']
absorb: ['-0.32', '-619.72', '-677.70']
crown: ['-20.08', '-259.23', '-223.45']
unseen: ['-15.56', '-361.31', '-214.45']
demons: ['-8.79', '-260.02', '-461.45']
irresistable: ['-53.49', '-249.26', '-110.40']
guiding: ['-15.96', '-471.04', '-197.65']
friends: ['-475.72', '-19.07', '-180.15']
disease: ['-1703.47', '-0.00', '-993.38']
temporal: ['-18.63', '-177.86', '-683.24']
shunt: ['-460.94', '-200.34', '-15.65']
shadow: ['-316.68', '-7.92', '-338.16']
illusion: ['-64.41', '-104.70', '-208.84']
armor: ['-134.42', '-134.15', '-73.86']
energy: ['-201.88', '-14.26', '-966.98']
tidal: ['-8.22', '-343.21', '-306.73']
trap(s: ['-165.70', '-108.84', '-74.96']
laughter: ['-452.83', '-1.51', '-548.19']
strike: ['-88.74', '-413.78', '-55.81']
pyrotechnics: ['-649.91', '-0.16', '-981.97']
aid: ['-1370.39', '-0.91', '-470.25']
ceremony: ['-797.97', '-0.07', '-788.39']
poison: ['-284.18', '-109.23', '-50.05']
fortune: ['-21.19', '-166.88', '-599.11']
shillelagh: ['-161.67', '-27.76', '-312.71']
