bane: ['12.51', '5.81', '81.68']
word: ['44.44', '1.18', '54.38']
dominate: ['99.61', '0.22', '0.17']
gas: ['0.00', '94.72', '5.28']
dead: ['5.39', '94.59', '0.02']
locate: ['99.97', '0.02', '0.00']
regeneration: ['8.93', '76.10', '14.98']
modify: ['88.78', '10.97', '0.26']
creation: ['0.78', '55.72', '43.50']
elementals: ['0.05', '91.42', '8.53']
confusion: ['0.07', '99.93', '0.01']
friends: ['0.86', '82.64', '16.50']
friendship: ['9.34', '56.65', '34.01']
missile: ['0.03', '10.49', '89.48']
repose: ['6.04', '10.39', '83.57']
vicious: ['98.94', '0.77', '0.30']
silence: ['3.49', '86.74', '9.77']
finger: ['69.78', '2.19', '28.02']
climbing: ['1.07', '69.32', '29.61']
bark: ['0.00', '94.31', '5.69']
freedom: ['14.05', '68.20', '17.75']
moon: ['0.00', '79.19', '20.81']
eye: ['7.19', '2.05', '90.76']
resistance: ['58.58', '8.27', '33.16']
shroud: ['5.75', '0.57', '93.68']
splash: ['8.90', '5.02', '86.08']
blindness: ['0.85', '95.10', '4.05']
hypnotic: ['52.33', '47.60', '0.07']
investiture: ['81.83', '1.53', '16.64']
blank: ['0.32', '2.41', '97.27']
guidance: ['20.19', '79.67', '0.14']
mass: ['97.18', '2.79', '0.03']
find: ['100.00', '0.00', '0.00']
mirage: ['1.52', '69.67', '28.81']
bow: ['0.49', '3.96', '95.55']
transference: ['19.53', '0.12', '80.35']
messenger: ['32.43', '11.79', '55.78']
bless: ['96.35', '0.99', '2.66']
wave: ['43.79', '4.28', '51.93']
whip: ['3.99', '0.74', '95.27']
mental: ['75.92', '24.07', '0.01']
flaming: ['50.20', '46.54', '3.27']
star(s: ['19.07', '33.67', '47.25']
create: ['99.25', '0.75', '0.00']
transport: ['68.00', '11.57', '20.43']
fissure: ['0.87', '0.12', '99.01']
reverse: ['93.81', '6.07', '0.12']
maddening: ['72.63', '26.11', '1.26']
thunder: ['31.90', '52.80', '15.30']
wrath: ['32.31', '65.15', '2.54']
awaken: ['85.49', '7.29', '7.22']
plane: ['0.00', '99.95', '0.05']
break: ['0.01', '0.01', '99.98']
bite: ['0.54', '6.61', '92.85']
aura: ['47.82', '16.18', '36.00']
orb: ['43.20', '25.12', '31.69']
arrow: ['4.29', '2.46', '93.25']
bestow: ['76.41', '23.56', '0.04']
form: ['0.95', '14.23', '84.82']
arcane: ['52.52', '18.81', '28.67']
continuous: ['99.60', '0.03', '0.37']
shillelagh: ['19.86', '75.76', '4.38']
greed: ['36.72', '61.72', '1.56']
prayer: ['87.05', '11.93', '1.01']
drink: ['2.03', '32.49', '65.48']
geas: ['19.07', '33.67', '47.25']
kill: ['4.31', '88.25', '7.44']
homunculus: ['3.24', '96.60', '0.16']
frost: ['0.08', '49.25', '50.66']
private: ['99.93', '0.04', '0.03']
dispel: ['97.78', '2.21', '0.01']
synaptic: ['96.89', '0.59', '2.52']
enlarge: ['94.91', '4.24', '0.85']
seeing: ['22.88', '41.58', '35.54']
negative: ['24.51', '75.47', '0.02']
erupting: ['77.81', '1.32', '20.87']
hypnosis: ['0.73', '87.08', '12.20']
fire: ['0.01', '95.01', '4.97']
message: ['2.44', '69.51', '28.04']
primal: ['92.42', '7.58', '0.00']
produce: ['100.00', '0.00', '0.00']
programmed: ['75.50', '20.27', '4.23']
calm: ['98.59', '0.68', '0.73']
guardian: ['46.27', '16.71', '37.03']
truth: ['0.08', '99.90', '0.02']
demons: ['91.58', '7.43', '0.99']
retreat: ['30.72', '2.70', '66.57']
lesser: ['55.28', '44.72', '0.00']
fortress: ['0.46', '1.69', '97.85']
sunbeam: ['0.00', '56.97', '43.03']
phantom: ['49.46', '48.89', '1.65']
floating: ['98.65', '1.27', '0.07']
feast: ['4.81', '6.65', '88.54']
ravenous: ['82.15', '6.35', '11.51']
gust: ['2.59', '31.16', '66.25']
motivational: ['16.32', '81.42', '2.25']
familiar: ['22.81', '59.15', '18.04']
projection: ['11.42', '55.44', '33.14']
color: ['0.01', '82.20', '17.79']
elements: ['0.05', '91.42', '8.53']
simulacrum: ['40.23', '57.68', '2.09']
deafness: ['0.05', '99.81', '0.14']
black: ['92.12', '2.71', '5.16']
grasp: ['44.22', '2.95', '52.83']
weird: ['6.92', '93.06', '0.02']
vitality: ['16.93', '48.81', '34.26']
cold: ['0.01', '95.48', '4.51']
burst: ['47.36', '1.83', '50.81']
tree: ['0.00', '86.18', '13.82']
stride: ['0.08', '16.10', '83.82']
sword: ['0.82', '38.10', '61.08']
gift: ['40.81', '1.50', '57.69']
bubble: ['17.46', '24.55', '57.99']
jump: ['1.21', '4.02', '94.77']
absorb: ['99.68', '0.20', '0.11']
recall: ['22.14', '57.37', '20.49']
ensnaring: ['97.44', '1.57', '1.00']
hold: ['88.06', '5.36', '6.58']
maelstrom: ['0.03', '36.91', '63.06']
sickening: ['72.63', '26.11', '1.26']
major: ['97.39', '0.00', '2.61']
invisibility: ['6.08', '72.50', '21.42']
crusader: ['99.43', '0.08', '0.49']
value: ['2.84', '96.99', '0.17']
prestidigitation: ['6.16', '92.21', '1.63']
reincarnate: ['81.53', '16.98', '1.48']
compelling: ['99.59', '0.06', '0.35']
disk: ['0.20', '37.37', '62.43']
flight: ['0.00', '99.60', '0.40']
green: ['1.15', '84.67', '14.18']
mockery: ['0.00', '91.74', '8.26']
chain: ['97.46', '0.01', '2.53']
lingering: ['71.58', '23.67', '4.76']
stop: ['5.11', '0.00', '94.89']
psychic: ['42.33', '56.11', '1.57']
waves: ['0.19', '0.00', '99.81']
guiding: ['85.24', '0.90', '13.86']
blade: ['0.49', '44.79', '54.72']
other: ['3.66', '95.78', '0.56']
shift: ['43.87', '2.90', '53.23']
path: ['1.12', '30.36', '68.52']
seeming: ['24.94', '24.89', '50.18']
pyrotechnics: ['0.15', '99.84', '0.01']
antimagic: ['19.07', '33.67', '47.25']
prismatic: ['90.70', '7.04', '2.26']
gravity: ['0.00', '99.96', '0.04']
identify: ['68.03', '31.93', '0.03']
whispers: ['10.29', '3.64', '86.07']
weather: ['0.00', '94.32', '5.68']
construct: ['12.31', '87.58', '0.11']
entangle: ['55.60', '24.50', '19.90']
servant: ['0.64', '96.14', '3.22']
dancing: ['63.73', '36.09', '0.18']
telepathy: ['42.33', '56.11', '1.57']
sliver: ['10.53', '1.22', '88.25']
hideous: ['56.01', '43.60', '0.39']
shape(s: ['19.07', '33.67', '47.25']
aid: ['0.00', '99.09', '0.91']
magic: ['52.52', '18.81', '28.67']
see: ['95.23', '4.43', '0.35']
dying: ['1.44', '98.46', '0.10']
enfeeblement: ['19.07', '33.67', '47.25']
empowerment: ['3.17', '15.33', '81.50']
transmute: ['90.62', '1.66', '7.72']
flock: ['72.13', '5.00', '22.87']
banishing: ['74.40', '13.02', '12.58']
step: ['0.00', '0.00', '100.00']
hallucination: ['0.02', '99.06', '0.92']
brew: ['0.44', '42.72', '56.84']
enemies: ['7.17', '50.50', '42.32']
dance: ['24.18', '75.81', '0.01']
speech: ['0.00', '100.00', '0.00']
force: ['14.58', '77.63', '7.79']
spritual: ['19.07', '33.67', '47.25']
zephyr: ['11.45', '87.88', '0.67']
barrier: ['0.41', '1.00', '98.60']
shadow: ['4.21', '92.39', '3.40']
draconic: ['0.55', '99.44', '0.01']
ice: ['17.31', '74.96', '7.73']
bond: ['55.11', '44.82', '0.07']
time: ['0.00', '99.58', '0.42']
vitriolic: ['60.04', '17.32', '22.64']
sand: ['2.72', '40.23', '57.05']
walk: ['0.01', '2.93', '97.07']
grove: ['0.00', '34.99', '65.01']
acid: ['0.89', '99.07', '0.05']
dream: ['15.48', '33.77', '50.75']
trick: ['10.51', '10.66', '78.83']
elemental: ['0.50', '85.91', '13.59']
ability: ['0.29', '44.43', '55.28']
lock: ['0.01', '0.34', '99.65']
sense: ['0.03', '6.69', '93.28']
illusion: ['52.51', '35.10', '12.39']
death: ['46.46', '53.51', '0.04']
feather: ['78.01', '7.65', '14.34']
intellect: ['26.27', '55.79', '17.93']
storm: ['45.58', '2.01', '52.41']
daylight: ['0.38', '99.12', '0.50']
spider: ['91.40', '8.09', '0.51']
essence: ['17.34', '73.41', '9.25']
instant: ['78.78', '18.85', '2.37']
trap(s: ['19.07', '33.67', '47.25']
plague: ['33.72', '12.01', '54.27']
water: ['23.99', '29.95', '46.06']
astral: ['88.44', '11.19', '0.36']
vine: ['6.44', '89.21', '4.35']
hallow: ['8.12', '91.85', '0.03']
alacrity: ['22.36', '72.88', '4.76']
abound: ['21.93', '6.51', '71.56']
ray: ['44.54', '0.29', '55.17']
image: ['0.00', '92.38', '7.62']
contact: ['88.84', '0.01', '11.15']
gaseous: ['85.50', '10.72', '3.78']
glyph: ['87.35', '0.04', '12.61']
non-: ['94.25', '3.71', '2.03']
primordial: ['72.10', '20.57', '7.33']
tide: ['4.63', '36.55', '58.82']
protection: ['41.79', '8.97', '49.24']
demon: ['2.28', '93.44', '4.28']
levitate: ['7.85', '69.31', '22.84']
mending: ['29.07', '70.14', '0.79']
