merit: ['-714.26', '-0.08', '-1081.54']
study: ['-559.71', '-0.74', '-561.61']
conflicts: ['-401.99', '-84.84', '-59.07']
removing: ['-7.78', '-260.71', '-683.25']
scenes: ['-715.79', '-316.08', '-4.41']
permanent: ['-13.81', '-208.52', '-536.14']
receiver: ['-121.91', '-221.13', '-51.93']
yarn: ['-77.28', '-433.34', '-64.41']
knowing: ['-801.07', '-8.42', '-252.07']
grain: ['-975.83', '-239.51', '-9.57']
passenger: ['-56.03', '-286.09', '-98.96']
reel: ['-0.01', '-1368.31', '-896.02']
wishes: ['-266.54', '-9.45', '-388.04']
known: ['-2.25', '-956.44', '-381.06']
manual: ['-152.56', '-24.54', '-886.79']
months: ['-1834.70', '-2901.99', '-0.00']
entered: ['-475.25', '-855.09', '-0.89']
necessity: ['-531.40', '-10.32', '-237.42']
ai: ['-3560.37', '-629.51', '-0.18']
rocks: ['-875.77', '-322.28', '-4.08']
pussy: ['-734.63', '-50.05', '-93.36']
identifying: ['-73.91', '-65.23', '-644.73']
welsh: ['-690.04', '-174.34', '-19.35']
lived: ['-568.79', '-12.02', '-220.85']
legends: ['-78.85', '-175.53', '-98.71']
mining: ['-152.40', '-284.97', '-32.25']
wrestling: ['-701.99', '-211.60', '-12.94']
romantic: ['-5.98', '-326.88', '-391.08']
salon: ['-59.27', '-88.59', '-335.66']
maintain: ['-2.44', '-413.75', '-481.25']
upgrade: ['-0.55', '-697.87', '-538.77']
advisors: ['-0.39', '-621.15', '-627.36']
financial: ['-159.55', '-37.91', '-218.31']
oils: ['-173.64', '-19.62', '-620.36']
conclusions: ['-11.38', '-225.25', '-602.92']
ranch: ['-283.92', '-9.97', '-331.29']
dear: ['-733.63', '-0.07', '-1588.66']
accompanied: ['-0.03', '-1015.61', '-826.99']
showers: ['-284.45', '-10.55', '-317.01']
trademarks: ['-0.76', '-522.67', '-613.22']
joke: ['-653.86', '-0.26', '-681.06']
completed: ['-0.09', '-877.16', '-726.83']
valves: ['-65.36', '-146.71', '-138.93']
gp: ['-7408.74', '-4613.26', '0.00']
bias: ['-1863.45', '-0.00', '-2116.55']
examination: ['-747.71', '-9.88', '-236.92']
config: ['-90.42', '-148.44', '-99.83']
institutional: ['-336.05', '-5.60', '-392.40']
monitors: ['-37.96', '-222.68', '-157.04']
fish: ['-4.09', '-321.96', '-951.82']
ticket: ['-259.21', '-11.64', '-335.27']
promising: ['-12.85', '-215.33', '-540.51']
ceramic: ['-0.19', '-755.13', '-660.15']
compact: ['-0.27', '-599.77', '-829.13']
buses: ['-8.27', '-913.87', '-253.49']
ascii: ['-393.25', '-188.01', '-18.90']
client: ['-309.12', '-458.02', '-5.73']
dealt: ['-0.01', '-1011.52', '-1001.55']
permit: ['-751.35', '-3.16', '-348.89']
diabetes: ['-708.37', '-4.55', '-313.26']
determined: ['-80.17', '-59.53', '-1026.24']
constitute: ['-117.20', '-37.31', '-638.42']
mayor: ['-1.27', '-661.22', '-448.79']
populations: ['-593.46', '-476.82', '-1.12']
runtime: ['-1467.54', '-750.03', '-0.06']
pendant: ['-42.01', '-548.98', '-108.21']
criterion: ['-939.20', '-0.03', '-839.25']
quit: ['-830.12', '-766.98', '-0.07']
encryption: ['-411.25', '-572.56', '-1.98']
electronic: ['-10.36', '-236.29', '-546.28']
spread: ['-0.21', '-647.52', '-743.79']
donated: ['-0.02', '-899.99', '-970.97']
old: ['-1446.53', '-802.71', '-0.03']
jewish: ['-372.90', '-878.33', '-2.45']
capital: ['-76.14', '-102.52', '-174.72']
