epideictic: ['19.07', '33.67', '47.25']
nonassociative: ['19.07', '33.67', '47.25']
detectable: ['75.53', '22.04', '2.43']
purposeful: ['2.44', '97.52', '0.05']
uncharitable: ['93.57', '3.04', '3.39']
blanket: ['0.24', '60.99', '38.78']
frightened: ['29.16', '67.65', '3.19']
ebracteate: ['19.07', '33.67', '47.25']
pluperfect: ['91.44', '0.01', '8.55']
phonic: ['93.32', '0.64', '6.05']
localised: ['4.29', '5.88', '89.83']
yawd: ['19.07', '33.67', '47.25']
uncooperative: ['57.80', '2.44', '39.76']
substantive: ['46.76', '53.23', '0.00']
frivolity: ['0.20', '98.61', '1.20']
toxicant: ['6.12', '93.18', '0.70']
chockablock: ['33.76', '0.00', '66.24']
unfasten: ['0.85', '94.24', '4.92']
notorious: ['87.04', '11.50', '1.46']
diversification: ['26.60', '52.88', '20.51']
unnoticeable: ['60.33', '39.06', '0.61']
lard: ['0.00', '100.00', '0.00']
assuring: ['19.55', '0.73', '79.71']
defense: ['23.21', '76.76', '0.03']
glistering: ['19.07', '33.67', '47.25']
pithy: ['0.49', '99.51', '0.00']
negativity: ['24.51', '75.47', '0.02']
nontelescoping: ['19.07', '33.67', '47.25']
ahorse: ['19.07', '33.67', '47.25']
overpopulation: ['3.20', '2.57', '94.23']
cloudless: ['3.24', '76.40', '20.35']
shape: ['66.12', '14.70', '19.18']
usurious: ['4.92', '93.12', '1.96']
semiautomatic: ['3.22', '94.97', '1.82']
railroad: ['16.55', '77.34', '6.11']
vagabond: ['0.88', '4.81', '94.31']
unselective: ['19.07', '33.67', '47.25']
dependant: ['0.79', '99.19', '0.02']
buckshot: ['20.49', '0.00', '79.51']
elimination: ['1.76', '50.43', '47.81']
incursion: ['0.56', '78.00', '21.44']
prefaded: ['19.07', '33.67', '47.25']
sensible: ['98.01', '1.96', '0.03']
zolaize: ['19.07', '33.67', '47.25']
questioning: ['1.21', '98.24', '0.55']
transgression: ['71.99', '15.11', '12.90']
godless: ['83.09', '16.90', '0.00']
satyrical: ['19.07', '33.67', '47.25']
calculable: ['0.68', '99.32', '0.00']
secondary: ['97.01', '0.31', '2.68']
missive: ['99.43', '0.32', '0.24']
traceable: ['90.78', '5.86', '3.37']
nutrient: ['0.47', '97.78', '1.75']
discretional: ['19.07', '33.67', '47.25']
holy: ['9.53', '77.76', '12.71']
number: ['94.95', '0.06', '4.99']
winner: ['9.36', '5.32', '85.32']
coordinator: ['86.63', '2.48', '10.88']
monophysitic: ['19.07', '33.67', '47.25']
introvertive: ['19.07', '33.67', '47.25']
mimic: ['96.27', '3.53', '0.20']
collectible: ['100.00', '0.00', '0.00']
adore: ['99.06', '0.93', '0.01']
conspicuous: ['90.94', '1.56', '7.49']
geologic: ['0.55', '98.51', '0.94']
nonturbulent: ['19.07', '33.67', '47.25']
privileged: ['54.14', '3.09', '42.76']
tombstone: ['0.09', '98.42', '1.49']
abide: ['0.34', '24.91', '74.75']
abasement: ['0.47', '89.51', '10.02']
injection: ['0.69', '50.38', '48.93']
legend: ['7.82', '74.82', '17.36']
movable: ['93.06', '0.24', '6.70']
hinge: ['7.94', '89.45', '2.62']
soulless: ['68.55', '31.38', '0.07']
acyclic: ['8.76', '3.22', '88.01']
deadly: ['97.42', '0.10', '2.49']
undersealed: ['19.07', '33.67', '47.25']
incredible: ['99.54', '0.18', '0.28']
favourable: ['68.28', '31.10', '0.62']
yoke: ['0.49', '3.96', '95.55']
overexcited: ['99.33', '0.38', '0.29']
adorer: ['19.07', '33.67', '47.25']
neurologic: ['1.72', '98.20', '0.08']
grudging: ['11.64', '73.75', '14.60']
fabulous: ['99.96', '0.01', '0.03']
cryonic: ['97.71', '2.28', '0.01']
oboist: ['9.01', '3.15', '87.84']
submissive: ['0.94', '95.59', '3.47']
reconstructive: ['88.50', '11.03', '0.48']
connoisseur: ['98.59', '1.33', '0.08']
jealous: ['0.51', '98.86', '0.63']
deceleration: ['0.18', '95.13', '4.70']
defeatism: ['0.00', '0.00', '99.99']
reptilian: ['23.45', '32.94', '43.61']
photic: ['79.23', '19.31', '1.46']
save: ['99.95', '0.05', '0.00']
undercut: ['90.08', '6.37', '3.56']
inclusion: ['37.68', '59.50', '2.82']
exilic: ['0.79', '88.81', '10.40']
subtype: ['92.72', '1.03', '6.25']
reportable: ['0.29', '99.68', '0.02']
agnate: ['90.16', '9.60', '0.24']
numerology: ['67.86', '30.76', '1.38']
total: ['28.88', '71.12', '0.00']
yearnings: ['8.11', '89.09', '2.80']
splenic: ['99.26', '0.65', '0.09']
numbness: ['0.89', '25.54', '73.57']
sensor: ['0.01', '99.67', '0.32']
scion: ['90.09', '2.83', '7.08']
drummer: ['42.65', '51.65', '5.70']
spangled: ['79.59', '0.48', '19.93']
classical: ['98.98', '0.60', '0.42']
wielder: ['0.82', '38.10', '61.08']
area: ['0.05', '46.23', '53.72']
unbound: ['99.88', '0.05', '0.08']
dimmer: ['100.00', '0.00', '0.00']
defeated: ['0.65', '11.96', '87.39']
continue: ['99.92', '0.00', '0.08']
stem: ['99.97', '0.03', '0.00']
location: ['0.02', '46.85', '53.12']
eyeful: ['84.22', '15.72', '0.06']
seducer: ['23.41', '29.66', '46.93']
monstrosity: ['3.24', '96.60', '0.16']
undated: ['99.85', '0.15', '0.00']
auditory: ['25.25', '69.29', '5.46']
intellect: ['26.27', '55.79', '17.93']
microwaveable: ['56.64', '37.62', '5.74']
prepupal: ['19.07', '33.67', '47.25']
cavernous: ['0.00', '0.71', '99.29']
insulate: ['14.03', '84.51', '1.46']
deteriorate: ['99.73', '0.09', '0.18']
imperfection: ['69.89', '21.63', '8.48']
leakage: ['3.02', '9.50', '87.48']
raimentless: ['19.07', '33.67', '47.25']
latitude: ['1.68', '98.12', '0.20']
impending: ['59.59', '39.07', '1.34']
acknowledge: ['7.16', '78.51', '14.33']
striking: ['91.65', '0.94', '7.41']
destructive: ['93.08', '6.52', '0.40']
protracted: ['99.88', '0.01', '0.11']
minimum: ['11.86', '88.03', '0.11']
twiglike: ['19.07', '33.67', '47.25']
nonmeaningful: ['19.07', '33.67', '47.25']
unalienable: ['33.11', '66.69', '0.20']
stipendiary: ['0.00', '100.00', '0.00']
ungraded: ['99.96', '0.02', '0.02']
arrival: ['53.71', '42.85', '3.44']
endoparasitic: ['19.07', '33.67', '47.25']
allocation: ['0.01', '99.49', '0.50']
xylitol: ['0.06', '99.92', '0.03']
surplus: ['72.39', '27.60', '0.01']
tensed: ['97.71', '0.78', '1.51']
unperceivable: ['19.07', '33.67', '47.25']
teasing: ['4.15', '88.34', '7.51']
stubble: ['9.63', '65.14', '25.24']
polymorphous: ['21.32', '35.89', '42.79']
conforming: ['0.55', '99.13', '0.32']
compulsive: ['90.85', '9.12', '0.03']
boylike: ['19.07', '33.67', '47.25']
vermiculate: ['19.07', '33.67', '47.25']
injurious: ['0.21', '68.36', '31.43']
spacey: ['15.39', '2.57', '82.04']
tranquilizer: ['94.54', '3.75', '1.70']
farinaceous: ['32.62', '66.63', '0.75']
unionized: ['94.47', '0.01', '5.52']
feeder: ['65.40', '3.92', '30.67']
stylization: ['4.73', '66.56', '28.71']
graybeard: ['19.07', '33.67', '47.25']
evacuation: ['0.01', '65.25', '34.74']
leptorhine: ['19.07', '33.67', '47.25']
perfectionist: ['69.89', '21.63', '8.48']
downfall: ['14.10', '85.47', '0.42']
approach: ['12.10', '87.27', '0.63']
foolproof: ['99.96', '0.04', '0.00']
effectinge: ['19.07', '33.67', '47.25']
theatregoer: ['19.07', '33.67', '47.25']
cement: ['0.00', '100.00', '0.00']
laconize: ['19.07', '33.67', '47.25']
pedunculate: ['99.51', '0.48', '0.00']
anvil: ['0.21', '71.18', '28.60']
hilum: ['15.60', '1.15', '83.25']
imagine: ['6.10', '2.76', '91.14']
nationalistic: ['0.56', '6.67', '92.76']
juridical: ['0.05', '99.90', '0.05']
eastern: ['21.69', '11.31', '67.00']
bypass: ['1.00', '13.49', '85.52']
effortless: ['67.07', '0.87', '32.06']
plasterer: ['2.39', '97.57', '0.04']
marriage: ['0.02', '99.93', '0.04']
unfetter: ['19.07', '33.67', '47.25']
parotid: ['87.40', '0.07', '12.54']
palatoglossal: ['19.07', '33.67', '47.25']
expandible: ['19.07', '33.67', '47.25']
immunogenic: ['1.40', '97.29', '1.31']
prevalence: ['42.17', '52.40', '5.43']
proverbial: ['47.39', '40.67', '11.93']
artificial: ['0.60', '99.37', '0.03']
mutagenic: ['1.82', '98.17', '0.01']
polymerize: ['21.32', '35.89', '42.79']
suboceanic: ['19.07', '33.67', '47.25']
waking: ['10.05', '16.32', '73.63']
stalemate: ['1.51', '3.08', '95.41']
customary: ['11.83', '73.76', '14.41']
retrievable: ['90.78', '5.86', '3.37']
orchestrator: ['93.49', '0.00', '6.51']
devoid: ['92.67', '7.29', '0.04']
suspense: ['0.18', '83.40', '16.42']
cathode: ['88.52', '10.45', '1.03']
rectal: ['99.47', '0.00', '0.53']
ultramontane: ['19.07', '33.67', '47.25']
uninominal: ['19.07', '33.67', '47.25']
sub: ['100.00', '0.00', '0.00']
topping: ['33.78', '61.70', '4.52']
planeload: ['3.45', '8.54', '88.01']
palace: ['2.84', '70.03', '27.13']
juncture: ['0.12', '80.03', '19.84']
immoveable: ['90.78', '5.86', '3.37']
accountable: ['99.99', '0.00', '0.01']
dip: ['93.24', '0.46', '6.30']
actor: ['0.03', '8.12', '91.85']
immemorial: ['0.03', '99.85', '0.11']
congeneric: ['11.13', '87.98', '0.89']
affectation: ['0.00', '99.96', '0.04']
extensional: ['7.74', '31.50', '60.75']
apostrophize: ['19.07', '33.67', '47.25']
hasten: ['4.41', '92.71', '2.88']
preoccupied: ['97.35', '1.20', '1.45']
woman: ['0.00', '0.44', '99.56']
monecious: ['19.07', '33.67', '47.25']
dynamic: ['22.59', '74.70', '2.71']
lineman: ['4.45', '17.67', '77.88']
superficiality: ['5.22', '92.59', '2.19']
noseprint: ['19.07', '33.67', '47.25']
unsegregated: ['19.07', '33.67', '47.25']
gin: ['25.50', '0.06', '74.44']
retractable: ['93.06', '0.24', '6.70']
